Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-April-2022,1810.00,1810.00,1790.10,1802.50,1800.285714285714285714,14,11,25204.00,5,35.71,19.90,-7.50
26-April-2022,1810.00,1822.00,1795.00,1805.00,1811.801801801801801801,111,26,201110.00,83,74.77,27.00,-5.00
25-April-2022,1810.00,1839.48,1780.60,1831.87,1801.606217616580310880,193,46,347710.00,168,87.05,58.88,21.87
22-April-2022,1832.00,1838.50,1820.00,1820.00,1834.467289719626168224,107,14,196288.00,101,94.39,18.50,-12.00
21-April-2022,1810.00,1839.70,1809.17,1838.31,1821.868421052631578947,38,22,69231.00,23,60.53,30.53,28.31
20-April-2022,1805.00,1818.00,1799.00,1799.50,1808.765432098765432098,81,22,146510.00,63,77.78,19.00,-5.50
19-April-2022,1820.00,1830.00,1800.00,1800.00,1815.694444444444444444,36,14,65365.00,31,86.11,30.00,-20.00
18-April-2022,1820.10,1840.00,1800.10,1816.07,1814.774566473988439306,692,89,1255824.00,593,85.69,39.90,-4.03
13-April-2022,1860.00,1869.93,1846.00,1853.49,1859.300000000000000000,80,52,148744.00,60,75.00,23.93,-6.51
12-April-2022,1870.00,1937.99,1840.10,1937.99,1856.176470588235294117,170,59,315550.00,130,76.47,97.89,67.99
11-April-2022,1880.00,1880.00,1850.10,1872.75,1869.500000000000000000,162,43,302859.00,120,74.07,29.90,-7.25
8-April-2022,1870.00,1884.29,1858.00,1884.29,1861.605263157894736842,38,14,70741.00,27,71.05,26.29,14.29
7-April-2022,1880.00,1898.00,1850.10,1858.50,1866.805471124620060790,329,44,614179.00,197,59.88,47.90,-21.50
6-April-2022,1890.00,1910.00,1860.10,1890.00,1898.313953488372093023,172,33,326510.00,160,93.02,49.90,0.00
5-April-2022,1901.00,1909.00,1890.10,1895.00,1897.927536231884057971,69,23,130957.00,45,65.22,18.90,-6.00
4-April-2022,1860.00,1911.37,1860.00,1911.37,1877.462121212121212121,132,26,247825.00,115,87.12,51.37,51.37
1-April-2022,1850.00,1859.02,1833.00,1846.44,1850.581699346405228758,153,27,283139.00,130,84.97,26.02,-3.56
31-March-2022,1858.00,1858.00,1840.00,1841.00,1847.029411764705882352,34,13,62799.00,33,97.06,18.00,-17.00
30-March-2022,1830.00,1895.00,1824.02,1858.52,1829.423809523809523809,420,28,768358.00,361,85.95,70.98,28.52
29-March-2022,1820.00,1829.00,1800.10,1811.95,1802.610894941634241245,514,18,926542.00,511,99.42,28.90,-8.05
28-March-2022,1830.00,1840.00,1794.00,1822.64,1824.680000000000000000,50,13,91234.00,41,82.00,46.00,-7.36
25-March-2022,1810.00,1819.00,1790.00,1792.00,1800.950450450450450450,222,58,399811.00,155,69.82,29.00,-18.00
24-March-2022,1815.00,1870.00,1800.00,1870.00,1808.823076923076923076,130,18,235147.00,113,86.92,70.00,55.00
23-March-2022,1821.00,1821.00,1805.00,1816.25,1809.775510204081632653,147,45,266037.00,138,93.88,16.00,-4.75
22-March-2022,1810.00,1825.00,1780.10,1820.00,1789.094444444444444444,360,38,644074.00,339,94.17,44.90,10.00
21-March-2022,1820.00,1829.00,1800.10,1810.70,1816.901041666666666666,192,33,348845.00,149,77.60,28.90,-9.30
17-March-2022,1795.00,1838.01,1793.00,1823.36,1805.761589403973509933,151,40,272670.00,143,94.70,45.01,28.36
16-March-2022,1770.00,1791.73,1760.10,1789.87,1782.725490196078431372,51,24,90919.00,32,62.74,31.63,19.87
15-March-2022,1780.00,1780.00,1742.92,1744.43,1770.414634146341463414,41,20,72587.00,31,75.61,37.08,-35.57
14-March-2022,1760.00,1783.99,1760.00,1776.00,1769.043478260869565217,23,18,40688.00,15,65.22,23.99,16.00
11-March-2022,1750.10,1765.00,1736.00,1749.00,1755.268817204301075268,93,27,163240.00,61,65.59,29.00,-1.10
10-March-2022,1740.00,1780.00,1722.00,1753.26,1756.056291390728476821,302,60,530329.00,219,72.52,58.00,13.26
9-March-2022,1690.00,1750.00,1690.00,1744.30,1700.604651162790697674,258,51,438756.00,158,61.24,60.00,54.30
8-March-2022,1710.00,1719.00,1652.15,1690.64,1686.930463576158940397,604,152,1018906.00,400,66.23,66.85,-19.36
7-March-2022,1720.00,1730.00,1666.49,1729.31,1707.576158940397350993,453,70,773532.00,389,85.87,63.51,9.31
4-March-2022,1740.00,1745.99,1708.00,1712.51,1723.675159235668789808,628,83,1082468.00,537,85.51,37.99,-27.49
3-March-2022,1760.00,1769.00,1731.00,1754.00,1753.039007092198581560,282,52,494357.00,241,85.46,38.00,-6.00
2-March-2022,1790.00,1810.00,1750.00,1757.00,1759.270742358078602620,229,25,402873.00,217,94.76,60.00,-33.00
28-February-2022,1770.00,1780.00,1740.00,1768.00,1771.690000000000000000,200,41,354338.00,,,40.00,-2.00
25-February-2022,1750.00,1768.67,1750.00,1755.00,1758.417322834645669291,127,32,223319.00,111,87.40,18.67,5.00
24-February-2022,1780.10,1790.00,1706.85,1717.04,1743.867593269934162399,1367,153,2383867.00,1223,89.47,83.15,-63.06
23-February-2022,1806.00,1810.00,1800.00,1805.70,1805.854838709677419354,62,20,111963.00,59,95.16,10.00,-0.30
22-February-2022,1807.10,1807.10,1770.10,1806.07,1788.012500000000000000,80,27,143041.00,58,72.50,37.00,-1.03
